Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
C,-92,0,0,0,0
C,-91,0,0,9,0
C,-90,0,0,9,0
C,-89,0,0,0,0
C,-88,0,0,6,0
C,-87,0,0,9,0
C,-86,0,0,0,0
C,-85,0,0,33,0
C,-84,0,0,33,0
C,-83,0,0,0,0
C,-82,0,0,18,0
C,-81,0,0,18,0
C,-80,0,0,0,0
C,-79,0,0,9,0
C,-78,0,0,9,0
C,-77,0,0,0,0
C,-76,0,0,6,0
C,-75,0,0,6,0
C,-74,0,0,3,0
C,-73,0,0,30,0
C,-72,0,0,30,0
C,-71,0,0,0,0
C,-70,0,0,6,0
C,-69,0,0,6,6
C,-68,0,0,0,9
C,-67,0,0,33,12
C,-66,0,0,33,6
C,-65,0,0,3,18
C,-64,0,0,18,27
C,-63,0,0,21,15
C,-62,0,0,9,15
C,-61,0,0,12,15
C,-60,0,0,12,9
C,-59,0,0,24,6
C,-58,0,0,15,21
C,-57,0,0,6,33
C,-56,0,0,42,42
C,-55,0,0,36,39
C,-54,0,0,3,39
C,-53,0,0,87,30
C,-52,0,0,24,9
C,-51,0,0,0,21
C,-50,0,0,243,18
C,-49,0,0,30,18
C,-48,0,0,6,9
C,-47,0,0,696,6
C,-46,0,0,84,9
C,-45,0,0,6,6
C,-44,0,0,129,24
C,-43,0,0,297,18
C,-42,0,0,3,36
C,-41,0,0,531,54
C,-40,0,0,561,33
C,-39,0,0,3,72
C,-38,0,0,315,93
C,-37,0,0,486,99
C,-36,0,0,0,39
C,-35,0,0,381,81
C,-34,0,0,393,174
C,-33,0,0,3,390
C,-32,0,0,1353,387
C,-31,0,0,411,351
C,-30,0,0,6,552
C,-29,0,0,690,507
C,-28,0,0,1905,309
C,-27,0,0,0,384
C,-26,0,0,651,444
C,-25,0,0,1512,585
C,-24,0,0,0,813
C,-23,0,0,1323,975
C,-22,0,0,816,933
C,-21,0,0,3,870
C,-20,0,0,768,1101
C,-19,0,0,2238,1398
C,-18,0,0,0,1428
C,-17,0,0,1494,1545
C,-16,0,0,939,1656
C,-15,0,0,0,2229
C,-14,0,0,2295,2322
C,-13,0,0,2367,2295
C,-12,0,0,0,1809
C,-11,0,0,2748,1404
C,-10,0,0,1659,1353
C,-9,0,0,3,1317
C,-8,0,0,2004,1155
C,-7,0,0,2172,1341
C,-6,0,0,3,1737
C,-5,0,0,2253,1899
C,-4,0,0,5517,2664
C,-3,0,0,9,3414
C,-2,0,0,3633,5523
C,-1,0,0,15480,9993
C,0,24,24,0,5586
C,1,3,3,15477,9990
C,2,3,9,3630,5514
C,3,9,9,0,3405
C,4,6,3,5511,2661
C,5,6,3,2247,1896
C,6,3,6,0,1731
C,7,0,0,2172,1341
C,8,0,0,2004,1155
C,9,3,3,0,1314
C,10,0,0,1659,1353
C,11,0,0,2748,1404
C,12,0,0,0,1809
C,13,3,3,2364,2292
C,14,0,0,2295,2322
C,15,0,0,0,2229
C,16,0,0,939,1656
C,17,3,3,1491,1542
C,18,0,0,0,1428
C,19,0,0,2238,1398
C,20,0,0,768,1101
C,21,3,3,0,867
C,22,0,0,816,933
C,23,0,0,1323,975
C,24,0,0,0,813
C,25,3,3,1509,582
C,26,0,6,651,438
C,27,0,0,0,384
C,28,0,3,1905,306
C,29,3,3,687,504
C,30,6,3,0,549
C,31,3,3,408,348
C,32,3,3,1350,384
C,33,3,0,0,390
C,34,3,6,390,168
C,35,3,3,378,78
C,36,0,3,0,36
C,37,6,3,480,96
C,38,3,3,312,90
C,39,3,3,0,69
C,40,3,3,558,30
C,41,3,9,528,45
C,42,3,6,0,30
C,43,3,6,294,12
C,44,9,9,120,15
C,45,6,3,0,3
C,46,6,3,78,6
C,47,6,3,690,3
C,48,6,9,0,0
C,49,3,3,27,15
C,50,0,9,243,9
C,51,0,3,0,18
C,52,3,3,21,6
C,53,3,3,84,27
C,54,3,6,0,33
C,55,0,9,36,30
C,56,6,6,36,36
C,57,3,3,3,30
C,58,3,0,12,21
C,59,3,0,21,6
C,60,3,0,9,9
C,61,3,0,9,15
C,62,6,0,3,15
C,63,3,0,18,15
